scope,metric,bucket,key,count,bucket_total,ratio_in_bucket
line,category,both,direct_usage_of_shared_memory,21,54,0.3889
line,category,both,input_validation_weakness,20,54,0.3704
line,category,both,unencrypted_data_output,13,54,0.2407
line,category,diting_only,direct_usage_of_shared_memory,2,12,0.1667
line,category,diting_only,input_validation_weakness,3,12,0.25
line,category,diting_only,unencrypted_data_output,7,12,0.5833
line,category,llm_only,input_validation_weakness,5,6,0.8333
line,category,llm_only,unencrypted_data_output,1,6,0.1667
line,category,neither,direct_usage_of_shared_memory,3,3,1.0
line,function,both,input,11,54,0.2037
line,function,both,output,4,54,0.0741
line,function,both,produce,4,54,0.0741
line,function,both,produce_2,4,54,0.0741
line,function,both,produce_3,1,54,0.0185
line,function,both,produce_i0,6,54,0.1111
line,function,both,produce_i2,3,54,0.0556
line,function,both,produce_s,3,54,0.0556
line,function,both,produce_s2,3,54,0.0556
line,function,both,produce_s3,7,54,0.1296
line,function,both,shared_memory,8,54,0.1481
line,function,diting_only,output,3,12,0.25
line,function,diting_only,produce,2,12,0.1667
line,function,diting_only,produce_2,2,12,0.1667
line,function,diting_only,produce_i3,3,12,0.25
line,function,diting_only,produce_s3,1,12,0.0833
line,function,diting_only,shared_memory,1,12,0.0833
line,function,llm_only,produce_3,1,6,0.1667
line,function,llm_only,produce_i0,1,6,0.1667
line,function,llm_only,produce_i2,4,6,0.6667
line,function,neither,produce_s3,1,3,0.3333
line,function,neither,shared_memory,2,3,0.6667
line,group,both,IVW-input,11,54,0.2037
line,group,both,IVW-produce_i0,6,54,0.1111
line,group,both,IVW-produce_i2,3,54,0.0556
line,group,both,SMO-produce_s,3,54,0.0556
line,group,both,SMO-produce_s2,3,54,0.0556
line,group,both,SMO-produce_s3,7,54,0.1296
line,group,both,SMO-shared_memory,8,54,0.1481
line,group,both,UDO-output,4,54,0.0741
line,group,both,UDO-produce,4,54,0.0741
line,group,both,UDO-produce_2,4,54,0.0741
line,group,both,UDO-produce_3,1,54,0.0185
line,group,diting_only,IVW-produce_i3,3,12,0.25
line,group,diting_only,SMO-produce_s3,1,12,0.0833
